id,publication_id,publication_key,publication_type,type,publication_role,status,artifact_availability,title,date,version,doi,website_url,canonical_url,short_url,route_status,pdf,bytes,sha256,sha512,ots_status
c001-standing-in-the-inquiry-of-being,c001,charter_essays.standing_in_the_inquiry_of_being,Charter Essay,charter_essay,orientation,released,local_pdf,Standing in the Inquiry of Being,2026-05-08,canonical v1.0,,https://panta-rhei.site/program/about/standing-in-the-inquiry-of-being/,https://panta-rhei.site/program/about/standing-in-the-inquiry-of-being/,https://prrp.site/c001,active,c001-standing-in-the-inquiry-of-being.pdf,327217,0f547c4a586ba92e58346d55a7b18945c577c1303a152530ace52db0a1320408,d3aef6dd9bf0ef5e26d53b4e736505311ff117d2e7222293b75942f3ec3fb74dc55b5035a013cf7c17c98682ec4ad5c129778e957464b381aa24359163beb00e,missing
gt001-guided-tour-book-i,gt001,guided_tours.book_i,Guided Tour,guided_tour,verification,released,local_pdf,Book I Guided Tour,2026-04-15,v1.0,,https://panta-rhei.site/publications/guided-tours/,https://panta-rhei.site/publications/guided-tours/,https://prrp.site/gt001,reserved,guided-tour-book-I.pdf,441645,72a145aeaed5f5390b180119393d85ae9f0fb396bdb210e4355fac4901bbb5f3,46a3d02457be06a98786edc8c9203b422119c3ed26986eb14735a4fcce2f43c9f9054562be6cce41a1cab81dc367d9c7d7e3ceffbf71ad0a8cd0a9ef3904871a,missing
gt002-guided-tour-book-ii,gt002,guided_tours.book_ii,Guided Tour,guided_tour,verification,released,local_pdf,Book II Guided Tour,2026-04-15,v1.0,,https://panta-rhei.site/publications/guided-tours/,https://panta-rhei.site/publications/guided-tours/,https://prrp.site/gt002,reserved,guided-tour-book-II.pdf,471244,efa7333f0cea7940cfcade7f65fe7a1dd7cee0a5aa1f3a5a095a26bece40a0f7,c74ce857a57bbb019a4eb34acaa409ff82260d12639fa8790f1162fc96011e96817014d52852c731f92483f1326bf9f678b4ba2ffa02202b100dc359bd1b8f34,missing
gt003-guided-tour-book-iii,gt003,guided_tours.book_iii,Guided Tour,guided_tour,verification,released,local_pdf,Book III Guided Tour,2026-04-15,v1.0,,https://panta-rhei.site/publications/guided-tours/,https://panta-rhei.site/publications/guided-tours/,https://prrp.site/gt003,reserved,guided-tour-book-III.pdf,467609,2ea68610c013abb1926fd5027a2fdfa12d0baeb566180621a10b7f032b3c7e4f,713a08061992ef7622ba0844e5a67329e0c567046eb5f71a2cf1f69e79f91a04f481205596bd02c71155e06ab611450d6a21d5b14d9dc9a4b04314dad526e180,missing
gt004-guided-tour-book-iv,gt004,guided_tours.book_iv,Guided Tour,guided_tour,verification,released,local_pdf,Book IV Guided Tour,2026-04-15,v1.0,,https://panta-rhei.site/publications/guided-tours/,https://panta-rhei.site/publications/guided-tours/,https://prrp.site/gt004,reserved,guided-tour-book-IV.pdf,487368,5a502fa90175bba8423d44364c81c5bab0fab89cbb24c9fb9e8352e7d461d8c8,94d6a7cd9b6370615f8c3399eaddefa2638db2f580f962c124194b9b7546fd32e8708018f514f9eb50d5940d833e7aee3496b5973fe4ca81d6c20d3bfcb97bb7,missing
gt005-guided-tour-book-v,gt005,guided_tours.book_v,Guided Tour,guided_tour,verification,released,local_pdf,Book V Guided Tour,2026-04-15,v1.0,,https://panta-rhei.site/publications/guided-tours/,https://panta-rhei.site/publications/guided-tours/,https://prrp.site/gt005,reserved,guided-tour-book-V.pdf,493486,17b5c32417bcc88a5158030d19f967b92de465597a997220b3098489fa315dcf,b479d4b9e0b898b048a208f7a486a5e41e18902746d8f66635c496e90a680b815c0a648524e01291079ea043541183d1d20cef4680b08404897e328bba8857a1,missing
gt006-guided-tour-book-vi,gt006,guided_tours.book_vi,Guided Tour,guided_tour,verification,released,local_pdf,Book VI Guided Tour,2026-04-15,v1.0,,https://panta-rhei.site/publications/guided-tours/,https://panta-rhei.site/publications/guided-tours/,https://prrp.site/gt006,reserved,guided-tour-book-VI.pdf,451824,72158fcb8671058d47089a876e22770a4d4301327a58450ac1b02fe810867474,cf486aa5b540de17d63ba74e0744a15fb9ba5525939bd4e2e99ae1f179c8a654c7e6390574959c65e7d3a5030c5ba3236a2573572576d1215ad4d8fc3f40eae1,missing
gt007-guided-tour-book-vii,gt007,guided_tours.book_vii,Guided Tour,guided_tour,verification,released,local_pdf,Book VII Guided Tour,2026-04-15,v1.0,,https://panta-rhei.site/publications/guided-tours/,https://panta-rhei.site/publications/guided-tours/,https://prrp.site/gt007,reserved,guided-tour-book-VII.pdf,474866,0314dd107daaf8fd86ce80fecf25c2e75e2b54473ca21bb994eba38830887798,6ea224cd5b542451b5c17ef24becad897fb2e50b737a116fa92d4ab7d5108c229940132bff72efab86c75b2fd4b3efea783ca79d02216acec1e7061c617e2520,missing
ms001-numerical-physics-ledger,ms001,monograph_supplements.numerical_physics_ledger,Monograph Supplement,monograph_supplement,technical,released,local_pdf,The Numerical Physics Ledger,2026-04-30,Second Edition,,https://panta-rhei.site/publications/monograph-supplements/numerical-physics-ledger/,https://panta-rhei.site/publications/monograph-supplements/numerical-physics-ledger/,https://prrp.site/ms001,reserved,physics-ledger.pdf,1106876,ccea2506f21770103ca98244664eaedfde992088206c7902c7d41a4299b0559e,3011882896f2372b32a9cbe8aba1a78a95ef7b1d3c883c9480c608fe065aec48877bc84044f4d6e6fe136a1a2af8eb430d9ca997d616df8c422709f24785b471,missing
ms002-categorical-genesis,ms002,monograph_supplements.categorical_genesis,Monograph Supplement,monograph_supplement,orientation,released,local_pdf,Categorical Genesis,2026-04-30,Second Edition,,https://panta-rhei.site/publications/monograph-supplements/categorical-genesis/,https://panta-rhei.site/publications/monograph-supplements/categorical-genesis/,https://prrp.site/ms002,reserved,categorical-genesis.pdf,357161,772b66729624583097fc4c7797134ed50374db3a9782bf7eccc11326b9fa58d7,0a46d784e6ecae2100d2f99ab94c57cb9f32ac5fdfa90e188acc1ff8a08eac2817df9e3da4bbab3af5165cb6187b3100cc6e5f92f7341491804e8614dfadd8cf,missing
2026-05-02-advanced-fission-safety-operations-licensing-fleet-modernization,pgd001,public_good_dossiers.advanced_fission_safety_operations_licensing_fleet_modernization,Public-Good Briefing,public_good_briefing,translation,released,local_pdf,"τ for Advanced Fission Safety, Operations, Licensing, and Fleet Modernization",2026-05-02,v3-enriched,,https://panta-rhei.site/publications/research-briefings/public-good/advanced-fission-safety-operations-licensing-fleet-modernization/,https://panta-rhei.site/publications/research-briefings/public-good/advanced-fission-safety-operations-licensing-fleet-modernization/,https://prrp.site/pgd001,reserved,public-good-impact-dossier-2026-05-02-advanced-fission-safety-operations-licensing-fleet-modernization.pdf,284000,2f417f847d649f74a78212ca1830e976f90e39ae3873b242e2f4a42e9f67bc55,e1456d049905a8c81995ad6d43ac73cd61892667337c04833caf26c683be05fc518b3090345332f6fd455572b9a319d57664cbd00b4cfe9186dd452e10c66a20,missing
2026-05-02-amr-wastewater-environmental-transmission-intelligence,pgd002,public_good_dossiers.amr_wastewater_environmental_transmission_intelligence,Public-Good Briefing,public_good_briefing,translation,released,local_pdf,"Tau for AMR, Wastewater/Environmental Surveillance, and Environmental Transmission Intelligence",2026-05-02,v3-enriched,,https://panta-rhei.site/publications/research-briefings/public-good/amr-wastewater-environmental-transmission-intelligence/,https://panta-rhei.site/publications/research-briefings/public-good/amr-wastewater-environmental-transmission-intelligence/,https://prrp.site/pgd002,reserved,public-good-impact-dossier-2026-05-02-amr-wastewater-environmental-transmission-intelligence.pdf,321864,4e4161770b683e1a6f0aba6681c5c60c49f8a6d79f27aecaf09fdd47e3361b41,d25beb9fbd6230e596f2396ba6149e03b8e22025cf50226cc2266f11b59a34c6378dab768762c51f8f0a02844c63a35e030bd26f68828497c2057393d80a1dcd,missing
2026-05-02-anticipatory-action-humanitarian-logistics-climate-risk-finance,pgd003,public_good_dossiers.anticipatory_action_humanitarian_logistics_climate_risk_finance,Public-Good Briefing,public_good_briefing,translation,released,local_pdf,"Tau for Anticipatory Action, Humanitarian Logistics, and Climate-Risk Finance",2026-05-02,v3-enriched,,https://panta-rhei.site/publications/research-briefings/public-good/anticipatory-action-humanitarian-logistics-climate-risk-finance/,https://panta-rhei.site/publications/research-briefings/public-good/anticipatory-action-humanitarian-logistics-climate-risk-finance/,https://prrp.site/pgd003,reserved,public-good-impact-dossier-2026-05-02-anticipatory-action-humanitarian-logistics-climate-risk-finance.pdf,339073,a825d6e69b833d87c61c90f407032ad64f30e642e91e881c684bdc265774b157,25bfd29d4cf8c3d5375cce8ec96ceb394a20e72e2e2d9cebbcbd0097db49a82763df2a430809eb1caf0a34bbf4b714228008f66943cf0e97cb55a4baf4b04bdd,missing
2026-05-02-aviation-weather-intelligence,pgd004,public_good_dossiers.aviation_weather_intelligence,Public-Good Briefing,public_good_briefing,translation,released,local_pdf,Tau-Grade Aviation Weather Intelligence for Mainstream Aviation,2026-05-02,v3-enriched,,https://panta-rhei.site/publications/research-briefings/public-good/aviation-weather-intelligence/,https://panta-rhei.site/publications/research-briefings/public-good/aviation-weather-intelligence/,https://prrp.site/pgd004,reserved,public-good-impact-dossier-2026-05-02-aviation-weather-intelligence.pdf,289365,b6f28eea3c582c35ac1fb37fd226c166e06925a8f9d458aeaaf52d72cc998f8a,1cb66c8da0158273d29deb81f6b76caca245c68ca7fb2ec7b835acf05baba0ce9eec486849bce7d42e892ff9a296fa0709db1aab07b42c1d01c45ac39364cb2c,missing
2026-05-02-biodiversity-finance-monitoring-restoration-verification,pgd005,public_good_dossiers.biodiversity_finance_monitoring_restoration_verification,Public-Good Briefing,public_good_briefing,translation,released,local_pdf,"τ for Biodiversity Finance, Monitoring, Restoration Verification, and Nature-Positive Investment Prioritization",2026-05-02,v3-enriched,,https://panta-rhei.site/publications/research-briefings/public-good/biodiversity-finance-monitoring-restoration-verification/,https://panta-rhei.site/publications/research-briefings/public-good/biodiversity-finance-monitoring-restoration-verification/,https://prrp.site/pgd005,reserved,public-good-impact-dossier-2026-05-02-biodiversity-finance-monitoring-restoration-verification.pdf,289116,7d35da6182f4445c7533f6aab01e6d082f44796f17a5b3fc3947a07552f4558e,0d7d63d2b40864e3463effa3b6f98cb762833c8c3c5d6fff6cba87a1a780fd2781f23ac00a2ec3d3f52f8c0829eca9536985357604c5a53b34d2c0ed06c6d5b0,missing
2026-05-02-blue-food-systems-marine-ecosystem-intelligence,pgd006,public_good_dossiers.blue_food_systems_marine_ecosystem_intelligence,Public-Good Briefing,public_good_briefing,translation,released,local_pdf,τ and Blue Food Systems,2026-05-02,v3-enriched,,https://panta-rhei.site/publications/research-briefings/public-good/blue-food-systems-marine-ecosystem-intelligence/,https://panta-rhei.site/publications/research-briefings/public-good/blue-food-systems-marine-ecosystem-intelligence/,https://prrp.site/pgd006,reserved,public-good-impact-dossier-2026-05-02-blue-food-systems-marine-ecosystem-intelligence.pdf,288857,b768cf1c67054673e243d3a97ee31a83d5bbf8881f60d4ca86aedc1753b5d896,fb6ce3283a4883b0b9aea0f90ab55dd88f51adea8d2f860db5a38f918d3576fd79963909fa6ead5c4c203a5428268d0456a7f135265608950de4fe468e443b84,missing
2026-05-02-bulk-grid-solar-forecasting,pgd007,public_good_dossiers.bulk_grid_solar_forecasting,Public-Good Briefing,public_good_briefing,translation,released,local_pdf,Tau-Grade Solar Forecasting for Bulk-Grid Operations and Market Dispatch,2026-05-02,v3-enriched,,https://panta-rhei.site/publications/research-briefings/public-good/bulk-grid-solar-forecasting/,https://panta-rhei.site/publications/research-briefings/public-good/bulk-grid-solar-forecasting/,https://prrp.site/pgd007,reserved,public-good-impact-dossier-2026-05-02-bulk-grid-solar-forecasting.pdf,277421,855a2c098ba7a1d3eae2e699bf6cf95127a86cb913395eae54bb9c7feb89d0dd,145af9afbd93cae25c71437f52a339af325ba9ff55e899ec53177c3b50867fbf8bc771e56055af3b21413aef6123743d68cf7c67e9b77f361f23c96c751135b9,missing
2026-05-02-carbon-cycle-methane-aerosol-sink-intelligence,pgd008,public_good_dossiers.carbon_cycle_methane_aerosol_sink_intelligence,Public-Good Briefing,public_good_briefing,translation,released,local_pdf,"Tau for Carbon-Cycle, Methane, Aerosol, and Sink Intelligence",2026-05-02,v3-enriched,,https://panta-rhei.site/publications/research-briefings/public-good/carbon-cycle-methane-aerosol-sink-intelligence/,https://panta-rhei.site/publications/research-briefings/public-good/carbon-cycle-methane-aerosol-sink-intelligence/,https://prrp.site/pgd008,reserved,public-good-impact-dossier-2026-05-02-carbon-cycle-methane-aerosol-sink-intelligence.pdf,289297,aba4f79a17968be027121ca3b495343741b8d567edbab8f39b4342e93ca88288,7f6ae7130be80ea1f80eaf3eddb741362adaa238583c64a2e0d3af92f85154b77d882431f8af302389b188841b9e082f83471942d002f400e31f72c16bac07d4,missing
2026-05-02-chemicals-toxic-releases-lead-pfas-heavy-metals-plume-remediation,pgd009,public_good_dossiers.chemicals_toxic_releases_lead_pfas_heavy_metals_plume_remediation,Public-Good Briefing,public_good_briefing,translation,released,local_pdf,"Tau for Chemicals, Toxic Releases, Lead/PFAS/Heavy Metals, Water-Soil-Air Plume Intelligence, and Remediation",2026-05-02,v3-enriched,,https://panta-rhei.site/publications/research-briefings/public-good/chemicals-toxic-releases-lead-pfas-heavy-metals-plume-remediation/,https://panta-rhei.site/publications/research-briefings/public-good/chemicals-toxic-releases-lead-pfas-heavy-metals-plume-remediation/,https://prrp.site/pgd009,reserved,public-good-impact-dossier-2026-05-02-chemicals-toxic-releases-lead-pfas-heavy-metals-plume-remediation.pdf,275815,d6e654aaba170b3f6ac1819526f96d532c4195aa4b56c272e5e5af805df612dc,35cb737267ccc5a9b6395f749439ea7fdecf4ff20cb41800bae0ae61ffaf3f2b07027f9d1f2c78468df02a7e71c801eaf96c7c61be6faa5ce1c11356678a9358,missing
2026-05-02-clean-air-digital-twins-exposure-intelligence,pgd010,public_good_dossiers.clean_air_digital_twins_exposure_intelligence,Public-Good Briefing,public_good_briefing,translation,released,local_pdf,"Tau-Grade Clean-Air Digital Twins, Exposure Intelligence, and Urban/Regional Health Protection",2026-05-02,v3-enriched,,https://panta-rhei.site/publications/research-briefings/public-good/clean-air-digital-twins-exposure-intelligence/,https://panta-rhei.site/publications/research-briefings/public-good/clean-air-digital-twins-exposure-intelligence/,https://prrp.site/pgd010,reserved,public-good-impact-dossier-2026-05-02-clean-air-digital-twins-exposure-intelligence.pdf,329102,fd1089baebe30f97d5ee1ab5c1119daac6da7c171b95377dd4c1fef8b4f30598,3eff06791a7cfbe34dbdf0bda0f4c49be2eb521bce6b8db59455c1669e006f6a55d61b5f5c84489631a3db4ebc127dd8c2dbc9804aa4d55796ec95b6a7980ae3,missing
2026-05-02-climate-policy-optimization-investment-prioritization-international-coordination,pgd011,public_good_dossiers.climate_policy_optimization_investment_prioritization_international_coordination,Public-Good Briefing,public_good_briefing,translation,released,local_pdf,"Tau for Climate Policy Optimization, Investment Prioritization, and International Coordination",2026-05-02,v3-enriched,,https://panta-rhei.site/publications/research-briefings/public-good/climate-policy-optimization-investment-prioritization-international-coordination/,https://panta-rhei.site/publications/research-briefings/public-good/climate-policy-optimization-investment-prioritization-international-coordination/,https://prrp.site/pgd011,reserved,public-good-impact-dossier-2026-05-02-climate-policy-optimization-investment-prioritization-international-coordination.pdf,299287,cc5084819a8da1b81b859683e8f440cce5f80022903ed9eddb029ed6c14fe3a9,51a8afd76e26064dc9e515f2d54eebae83052abe62a4acef5c3bb7d18ca1f37ee9d58378ff76953d21e3e93547bdd8726a0539f3b6bafac2220bbf7d17f60cdc,missing
2026-05-02-climate-smart-aviation-contrail-routing-decarbonization,pgd012,public_good_dossiers.climate_smart_aviation_contrail_routing_decarbonization,Public-Good Briefing,public_good_briefing,translation,released,local_pdf,τ-Enabled Climate-Smart Aviation,2026-05-02,v3-enriched,,https://panta-rhei.site/publications/research-briefings/public-good/climate-smart-aviation-contrail-routing-decarbonization/,https://panta-rhei.site/publications/research-briefings/public-good/climate-smart-aviation-contrail-routing-decarbonization/,https://prrp.site/pgd012,reserved,public-good-impact-dossier-2026-05-02-climate-smart-aviation-contrail-routing-decarbonization.pdf,286790,17bc080230bc8133803f4b70f4c5be4e512104b4c572769df6c5699dfd25a0a9,ed9f1fc3197143968e74c72f48bd7d77a6b5f727d6f8ad2867928d9e5751598535bfa9f577c394cb0ceb9573e4598bfd74d9a923050abab94e81e3002bd8958f,missing
2026-05-02-climate-smart-irrigation-soil-moisture-water-productivity,pgd013,public_good_dossiers.climate_smart_irrigation_soil_moisture_water_productivity,Public-Good Briefing,public_good_briefing,translation,released,local_pdf,"Tau for Climate-Smart Irrigation, Soil Moisture, and Water Productivity",2026-05-02,v3-enriched,,https://panta-rhei.site/publications/research-briefings/public-good/climate-smart-irrigation-soil-moisture-water-productivity/,https://panta-rhei.site/publications/research-briefings/public-good/climate-smart-irrigation-soil-moisture-water-productivity/,https://prrp.site/pgd013,reserved,public-good-impact-dossier-2026-05-02-climate-smart-irrigation-soil-moisture-water-productivity.pdf,352515,1371286030bd2418d47ff54bd2358effffb06581dc5cbed12871ec6843af33d4,f3c15e07dd0be6041f20909023f2e8d10b52259d403dd03c147ffc6c3c9d0ce9fd317763431738a3988b7501ba2b766396f45b6aeff0737271bad99bd2ac4210,missing
2026-05-02-climate-smart-shipping-decarbonization-wind-corridors,pgd014,public_good_dossiers.climate_smart_shipping_decarbonization_wind_corridors,Public-Good Briefing,public_good_briefing,translation,released,local_pdf,τ and Climate-Smart Shipping,2026-05-02,v3-enriched,,https://panta-rhei.site/publications/research-briefings/public-good/climate-smart-shipping-decarbonization-wind-corridors/,https://panta-rhei.site/publications/research-briefings/public-good/climate-smart-shipping-decarbonization-wind-corridors/,https://prrp.site/pgd014,reserved,public-good-impact-dossier-2026-05-02-climate-smart-shipping-decarbonization-wind-corridors.pdf,291332,8c4596e0a82a8e5b33ca62a799661544305f126ad331ad91f16c89b3d40ce83d,204e327040f192c4758eadcd9c9b5b0ca1f7cd99ac36543c16c84e6df96b7c52299f6b8eeac69b319dc9f4685c02aceddf34983d41b23d2b6923dc0e0aa1dd5b,missing
2026-05-02-critical-infrastructure-emergency-operations-public-service-continuity,pgd015,public_good_dossiers.critical_infrastructure_emergency_operations_public_service_continuity,Public-Good Briefing,public_good_briefing,translation,released,local_pdf,"Tau for Critical Infrastructure, Emergency Operations, and Public-Service Continuity",2026-05-02,v3-enriched,,https://panta-rhei.site/publications/research-briefings/public-good/critical-infrastructure-emergency-operations-public-service-continuity/,https://panta-rhei.site/publications/research-briefings/public-good/critical-infrastructure-emergency-operations-public-service-continuity/,https://prrp.site/pgd015,reserved,public-good-impact-dossier-2026-05-02-critical-infrastructure-emergency-operations-public-service-continuity.pdf,329186,1fc3aad5439fbef11385a19c54e9568eed227461a3572c1a3cc7f5c2449a343d,69db66c4011986962f43e8e24147b527cfcda4011ec72880c787ba985393efed108267dce5cc2da0624be80b955b4602e19afffafd448ca2277ac787b95836a0,missing
2026-05-02-crop-biology-breeding-photosynthesis-gene-design,pgd016,public_good_dossiers.crop_biology_breeding_photosynthesis_gene_design,Public-Good Briefing,public_good_briefing,translation,released,local_pdf,"Tau for Crop Biology, Breeding, Photosynthesis Engineering, and Targeted Gene Design",2026-05-02,v3-enriched,,https://panta-rhei.site/publications/research-briefings/public-good/crop-biology-breeding-photosynthesis-gene-design/,https://panta-rhei.site/publications/research-briefings/public-good/crop-biology-breeding-photosynthesis-gene-design/,https://prrp.site/pgd016,reserved,public-good-impact-dossier-2026-05-02-crop-biology-breeding-photosynthesis-gene-design.pdf,281107,d21eeb4a120acea35993cf9ca3d2d9e5795e70438f144d300927d237df922d76,17a368eb19321eea5cffa392f5be31fc09b293c4ae563ec164975cf579bb0834e98023dbdb5eec0e2d84313d206d614100872ed6bababc2727b48dfb84ba55c0,missing
2026-05-02-der-storage-flexible-demand-microgrids-td-planning,pgd017,public_good_dossiers.der_storage_flexible_demand_microgrids_td_planning,Public-Good Briefing,public_good_briefing,translation,released,local_pdf,"Tau for DER Orchestration, Storage, Flexible Demand, Microgrids, and T&D Planning",2026-05-02,v3-enriched,,https://panta-rhei.site/publications/research-briefings/public-good/der-storage-flexible-demand-microgrids-td-planning/,https://panta-rhei.site/publications/research-briefings/public-good/der-storage-flexible-demand-microgrids-td-planning/,https://prrp.site/pgd017,reserved,public-good-impact-dossier-2026-05-02-der-storage-flexible-demand-microgrids-td-planning.pdf,294394,0f9ef9f3ead870d566234f0ba71b989c5d4ee25b3dedbfeb2e2786777ee00aa7,b3b0a1aa92d12535a7907baf0733aaf2f49704c4a6f71e48275db8c64359571a772db61daff00c0381ce9b13aa9fa51937c4862e4e04923f039fd3523cb55f4e,missing
2026-05-02-distributed-pv-visibility-distribution-grid-orchestration,pgd018,public_good_dossiers.distributed_pv_visibility_distribution_grid_orchestration,Public-Good Briefing,public_good_briefing,translation,released,local_pdf,τ for Distributed PV Visibility and Distribution-Grid Orchestration,2026-05-02,v3-enriched,,https://panta-rhei.site/publications/research-briefings/public-good/distributed-pv-visibility-distribution-grid-orchestration/,https://panta-rhei.site/publications/research-briefings/public-good/distributed-pv-visibility-distribution-grid-orchestration/,https://prrp.site/pgd018,reserved,public-good-impact-dossier-2026-05-02-distributed-pv-visibility-distribution-grid-orchestration.pdf,314728,e29271962f785fa9b3b30dfe452233b69d162950936234e3af0b80e0375e3fbe,9c986ead027f81a15fdd53cf2ac48047304dfd3e1751409de0baacf18faeecd9c34ea33c517af3057657e668df51a809342a23de87ca79f78b67c180551a81d0,missing
